loading app ./flowmanager/flowmanager.py
loading app ryu.app.simple_switch_13
loading app ryu.controller.ofp_handler
loading app ryu.topology.switches
loading app ryu.controller.ofp_handler
creating context wsgi
instantiating app None of DPSet
creating context dpset
instantiating app ./flowmanager/flowmanager.py of FlowManager
Created flowmanager
instantiating app ryu.app.simple_switch_13 of SimpleSwitch13
instantiating app ryu.controller.ofp_handler of OFPHandler
instantiating app ryu.topology.switches of Switches
(26) wsgi starting up on http://0.0.0.0:5533
packet in 2 92:88:67:8b:96:27 33:33:00:00:00:16 2
packet in 2 92:88:67:8b:96:27 33:33:00:00:00:02 2
packet in 1 92:88:67:8b:96:27 33:33:00:00:00:16 3
packet in 1 92:88:67:8b:96:27 33:33:00:00:00:02 3
packet in 2 6e:6a:5e:9f:59:e9 33:33:00:00:00:16 3
packet in 2 6e:6a:5e:9f:59:e9 33:33:00:00:00:02 3
packet in 1 6e:6a:5e:9f:59:e9 33:33:00:00:00:16 3
packet in 1 6e:6a:5e:9f:59:e9 33:33:00:00:00:02 3
packet in 1 f6:2e:b3:b5:3d:9a 33:33:00:00:00:16 3
packet in 2 f6:2e:b3:b5:3d:9a 33:33:00:00:00:16 3
packet in 1 42:2f:69:76:88:8b 33:33:00:00:00:16 1
packet in 1 42:2f:69:76:88:8b 33:33:00:00:00:02 1
packet in 2 42:2f:69:76:88:8b 33:33:00:00:00:16 3
packet in 2 42:2f:69:76:88:8b 33:33:00:00:00:02 3
packet in 2 a2:67:42:57:8a:c6 33:33:00:00:00:16 3
packet in 2 a2:67:42:57:8a:c6 33:33:00:00:00:02 3
packet in 1 a2:67:42:57:8a:c6 33:33:00:00:00:16 3
packet in 1 a2:67:42:57:8a:c6 33:33:00:00:00:02 3
packet in 2 8e:e4:de:83:d7:f2 33:33:00:00:00:16 3
packet in 2 8e:e4:de:83:d7:f2 33:33:00:00:00:02 3
packet in 1 8e:e4:de:83:d7:f2 33:33:00:00:00:16 3
packet in 1 8e:e4:de:83:d7:f2 33:33:00:00:00:02 3
packet in 1 ea:6b:e2:4a:88:5b 33:33:00:00:00:16 2
packet in 2 5e:3f:ca:30:45:de 33:33:00:00:00:16 3
packet in 2 5e:3f:ca:30:45:de 33:33:00:00:00:02 3
packet in 1 ea:6b:e2:4a:88:5b 33:33:00:00:00:02 2
packet in 2 ea:6b:e2:4a:88:5b 33:33:00:00:00:16 3
packet in 2 ea:6b:e2:4a:88:5b 33:33:00:00:00:02 3
packet in 2 4e:e3:0d:d6:49:c2 33:33:00:00:00:16 3
packet in 2 4e:e3:0d:d6:49:c2 33:33:00:00:00:02 3
packet in 1 4e:e3:0d:d6:49:c2 33:33:00:00:00:16 3
packet in 1 4e:e3:0d:d6:49:c2 33:33:00:00:00:02 3
packet in 1 ea:6b:e2:4a:88:5b 33:33:00:00:00:16 2
packet in 1 76:9d:60:b4:63:7a 33:33:00:00:00:16 3
packet in 1 76:9d:60:b4:63:7a 33:33:00:00:00:02 3
packet in 2 ea:6b:e2:4a:88:5b 33:33:00:00:00:16 3
packet in 2 26:4a:af:23:b1:c0 33:33:00:00:00:16 3
packet in 2 26:4a:af:23:b1:c0 33:33:00:00:00:02 3
packet in 2 6a:ca:92:2b:8c:71 33:33:00:00:00:16 3
packet in 2 6a:ca:92:2b:8c:71 33:33:00:00:00:02 3
packet in 1 26:4a:af:23:b1:c0 33:33:00:00:00:16 3
packet in 1 26:4a:af:23:b1:c0 33:33:00:00:00:02 3
packet in 1 6a:ca:92:2b:8c:71 33:33:00:00:00:16 3
packet in 1 6a:ca:92:2b:8c:71 33:33:00:00:00:02 3
packet in 2 ca:09:61:67:94:05 33:33:00:00:00:16 1
packet in 1 ca:09:61:67:94:05 33:33:00:00:00:16 3
packet in 2 6a:ca:92:2b:8c:71 33:33:00:00:00:16 3
packet in 1 6a:ca:92:2b:8c:71 33:33:00:00:00:16 3
packet in 1 a2:67:42:57:8a:c6 33:33:00:00:00:16 3
packet in 2 a2:67:42:57:8a:c6 33:33:00:00:00:16 3
packet in 2 46:8c:fe:d5:07:f9 33:33:00:00:00:16 3
packet in 2 46:8c:fe:d5:07:f9 33:33:00:00:00:02 3
packet in 1 46:8c:fe:d5:07:f9 33:33:00:00:00:02 3
packet in 1 46:8c:fe:d5:07:f9 33:33:00:00:00:16 3
packet in 2 56:98:27:52:d9:5e 33:33:00:00:00:16 3
packet in 2 56:98:27:52:d9:5e 33:33:00:00:00:02 3
packet in 1 76:9d:60:b4:63:7a 33:33:00:00:00:16 3
packet in 2 4e:e3:0d:d6:49:c2 33:33:00:00:00:16 3
packet in 1 4e:e3:0d:d6:49:c2 33:33:00:00:00:16 3
packet in 2 5e:d8:ee:a5:5e:97 33:33:00:00:00:16 3
packet in 2 5e:47:85:bf:0e:db 33:33:00:00:00:16 3
packet in 1 5e:d8:ee:a5:5e:97 33:33:00:00:00:16 3
packet in 1 5e:47:85:bf:0e:db 33:33:00:00:00:16 3
packet in 1 62:e2:5a:ec:10:d4 33:33:00:00:00:16 3
packet in 1 62:e2:5a:ec:10:d4 33:33:00:00:00:02 3
packet in 2 5e:3f:ca:30:45:de 33:33:00:00:00:16 3
packet in 2 6e:6a:5e:9f:59:e9 33:33:00:00:00:16 3
packet in 1 6e:6a:5e:9f:59:e9 33:33:00:00:00:16 3
packet in 1 42:2f:69:76:88:8b 33:33:00:00:00:16 1
packet in 2 42:2f:69:76:88:8b 33:33:00:00:00:16 3
packet in 2 e6:cb:36:99:4d:99 33:33:00:00:00:16 3
packet in 1 e6:cb:36:99:4d:99 33:33:00:00:00:16 3
packet in 2 92:88:67:8b:96:27 33:33:00:00:00:16 2
packet in 1 92:88:67:8b:96:27 33:33:00:00:00:16 3
packet in 1 62:e2:5a:ec:10:d4 33:33:00:00:00:16 3
packet in 2 8e:e4:de:83:d7:f2 33:33:00:00:00:16 3
packet in 1 8e:e4:de:83:d7:f2 33:33:00:00:00:16 3
packet in 2 46:8c:fe:d5:07:f9 33:33:00:00:00:16 3
packet in 1 46:8c:fe:d5:07:f9 33:33:00:00:00:16 3
packet in 2 56:98:27:52:d9:5e 33:33:00:00:00:16 3
packet in 2 26:4a:af:23:b1:c0 33:33:00:00:00:16 3
packet in 1 26:4a:af:23:b1:c0 33:33:00:00:00:16 3
packet in 1 e6:cb:36:99:4d:99 33:33:00:00:00:02 3
packet in 2 e6:cb:36:99:4d:99 33:33:00:00:00:02 3
packet in 2 f6:2e:b3:b5:3d:9a 33:33:00:00:00:02 3
packet in 1 f6:2e:b3:b5:3d:9a 33:33:00:00:00:02 3
packet in 2 6e:6a:5e:9f:59:e9 33:33:00:00:00:02 3
packet in 2 a2:67:42:57:8a:c6 33:33:00:00:00:02 3
packet in 1 6e:6a:5e:9f:59:e9 33:33:00:00:00:02 3
packet in 1 a2:67:42:57:8a:c6 33:33:00:00:00:02 3
packet in 1 5e:d8:ee:a5:5e:97 33:33:00:00:00:02 3
packet in 2 5e:d8:ee:a5:5e:97 33:33:00:00:00:02 3
packet in 2 8e:e4:de:83:d7:f2 33:33:00:00:00:02 3
packet in 1 8e:e4:de:83:d7:f2 33:33:00:00:00:02 3
packet in 1 ea:6b:e2:4a:88:5b 33:33:00:00:00:02 2
packet in 2 ca:09:61:67:94:05 33:33:00:00:00:02 1
packet in 2 ea:6b:e2:4a:88:5b 33:33:00:00:00:02 3
packet in 1 ca:09:61:67:94:05 33:33:00:00:00:02 3
packet in 1 5e:47:85:bf:0e:db 33:33:00:00:00:02 3
packet in 2 5e:47:85:bf:0e:db 33:33:00:00:00:02 3
packet in 1 62:e2:5a:ec:10:d4 33:33:00:00:00:02 3
packet in 1 42:2f:69:76:88:8b 33:33:00:00:00:02 1
packet in 2 92:88:67:8b:96:27 33:33:00:00:00:02 2
packet in 1 76:9d:60:b4:63:7a 33:33:00:00:00:02 3
packet in 2 42:2f:69:76:88:8b 33:33:00:00:00:02 3
packet in 1 92:88:67:8b:96:27 33:33:00:00:00:02 3
packet in 2 46:8c:fe:d5:07:f9 33:33:00:00:00:02 3
packet in 2 6a:ca:92:2b:8c:71 33:33:00:00:00:02 3
packet in 1 46:8c:fe:d5:07:f9 33:33:00:00:00:02 3
packet in 1 6a:ca:92:2b:8c:71 33:33:00:00:00:02 3
packet in 1 4e:e3:0d:d6:49:c2 33:33:00:00:00:02 3
packet in 2 4e:e3:0d:d6:49:c2 33:33:00:00:00:02 3
packet in 2 5e:3f:ca:30:45:de 33:33:00:00:00:02 3
packet in 1 26:4a:af:23:b1:c0 33:33:00:00:00:02 3
packet in 2 26:4a:af:23:b1:c0 33:33:00:00:00:02 3
packet in 2 56:98:27:52:d9:5e 33:33:00:00:00:02 3
packet in 2 5e:d8:ee:a5:5e:97 33:33:00:00:00:02 3
packet in 1 5e:d8:ee:a5:5e:97 33:33:00:00:00:02 3
packet in 2 a2:67:42:57:8a:c6 33:33:00:00:00:02 3
packet in 1 a2:67:42:57:8a:c6 33:33:00:00:00:02 3
packet in 2 8e:e4:de:83:d7:f2 33:33:00:00:00:02 3
packet in 1 8e:e4:de:83:d7:f2 33:33:00:00:00:02 3
packet in 2 6e:6a:5e:9f:59:e9 33:33:00:00:00:02 3
packet in 2 e6:cb:36:99:4d:99 33:33:00:00:00:02 3
packet in 1 6e:6a:5e:9f:59:e9 33:33:00:00:00:02 3
packet in 1 e6:cb:36:99:4d:99 33:33:00:00:00:02 3
packet in 1 62:e2:5a:ec:10:d4 33:33:00:00:00:02 3
packet in 1 ea:6b:e2:4a:88:5b 33:33:00:00:00:02 2
packet in 1 f6:2e:b3:b5:3d:9a 33:33:00:00:00:02 3
packet in 2 f6:2e:b3:b5:3d:9a 33:33:00:00:00:02 3
packet in 2 ea:6b:e2:4a:88:5b 33:33:00:00:00:02 3
packet in 1 46:8c:fe:d5:07:f9 33:33:00:00:00:02 3
packet in 2 46:8c:fe:d5:07:f9 33:33:00:00:00:02 3
packet in 2 ca:09:61:67:94:05 33:33:00:00:00:02 1
packet in 1 76:9d:60:b4:63:7a 33:33:00:00:00:02 3
packet in 1 ca:09:61:67:94:05 33:33:00:00:00:02 3
packet in 2 6a:ca:92:2b:8c:71 33:33:00:00:00:02 3
packet in 1 6a:ca:92:2b:8c:71 33:33:00:00:00:02 3
packet in 1 5e:47:85:bf:0e:db 33:33:00:00:00:02 3
packet in 2 5e:47:85:bf:0e:db 33:33:00:00:00:02 3
packet in 1 42:2f:69:76:88:8b 33:33:00:00:00:02 1
packet in 2 42:2f:69:76:88:8b 33:33:00:00:00:02 3
packet in 2 5e:3f:ca:30:45:de 33:33:00:00:00:02 3
packet in 2 92:88:67:8b:96:27 33:33:00:00:00:02 2
packet in 2 56:98:27:52:d9:5e 33:33:00:00:00:02 3
packet in 1 92:88:67:8b:96:27 33:33:00:00:00:02 3
packet in 2 26:4a:af:23:b1:c0 33:33:00:00:00:02 3
packet in 1 26:4a:af:23:b1:c0 33:33:00:00:00:02 3
packet in 1 4e:e3:0d:d6:49:c2 33:33:00:00:00:02 3
packet in 2 4e:e3:0d:d6:49:c2 33:33:00:00:00:02 3
packet in 1 5e:d8:ee:a5:5e:97 33:33:00:00:00:02 3
packet in 2 5e:d8:ee:a5:5e:97 33:33:00:00:00:02 3
packet in 2 6e:6a:5e:9f:59:e9 33:33:00:00:00:02 3
packet in 1 6e:6a:5e:9f:59:e9 33:33:00:00:00:02 3
packet in 2 46:8c:fe:d5:07:f9 33:33:00:00:00:02 3
packet in 2 8e:e4:de:83:d7:f2 33:33:00:00:00:02 3
packet in 1 46:8c:fe:d5:07:f9 33:33:00:00:00:02 3
packet in 1 8e:e4:de:83:d7:f2 33:33:00:00:00:02 3
packet in 1 62:e2:5a:ec:10:d4 33:33:00:00:00:02 3
packet in 2 a2:67:42:57:8a:c6 33:33:00:00:00:02 3
packet in 1 a2:67:42:57:8a:c6 33:33:00:00:00:02 3
packet in 2 e6:cb:36:99:4d:99 33:33:00:00:00:02 3
packet in 1 e6:cb:36:99:4d:99 33:33:00:00:00:02 3
packet in 1 ea:6b:e2:4a:88:5b 33:33:00:00:00:02 2
packet in 1 76:9d:60:b4:63:7a 33:33:00:00:00:02 3
packet in 2 ea:6b:e2:4a:88:5b 33:33:00:00:00:02 3
packet in 1 6a:ca:92:2b:8c:71 33:33:00:00:00:02 3
packet in 2 6a:ca:92:2b:8c:71 33:33:00:00:00:02 3
packet in 1 42:2f:69:76:88:8b 33:33:00:00:00:02 1
packet in 2 ca:09:61:67:94:05 33:33:00:00:00:02 1
packet in 2 56:98:27:52:d9:5e 33:33:00:00:00:02 3
packet in 2 42:2f:69:76:88:8b 33:33:00:00:00:02 3
packet in 2 5e:3f:ca:30:45:de 33:33:00:00:00:02 3
packet in 1 ca:09:61:67:94:05 33:33:00:00:00:02 3
packet in 2 f6:2e:b3:b5:3d:9a 33:33:00:00:00:02 3
packet in 1 f6:2e:b3:b5:3d:9a 33:33:00:00:00:02 3
packet in 2 26:4a:af:23:b1:c0 33:33:00:00:00:02 3
packet in 2 5e:47:85:bf:0e:db 33:33:00:00:00:02 3
packet in 1 26:4a:af:23:b1:c0 33:33:00:00:00:02 3
packet in 1 5e:47:85:bf:0e:db 33:33:00:00:00:02 3
packet in 2 92:88:67:8b:96:27 33:33:00:00:00:02 2
packet in 2 4e:e3:0d:d6:49:c2 33:33:00:00:00:02 3
packet in 1 92:88:67:8b:96:27 33:33:00:00:00:02 3
packet in 1 4e:e3:0d:d6:49:c2 33:33:00:00:00:02 3
packet in 2 6e:6a:5e:9f:59:e9 33:33:00:00:00:02 3
packet in 1 6e:6a:5e:9f:59:e9 33:33:00:00:00:02 3
packet in 1 5e:d8:ee:a5:5e:97 33:33:00:00:00:02 3
packet in 2 5e:d8:ee:a5:5e:97 33:33:00:00:00:02 3
packet in 2 46:8c:fe:d5:07:f9 33:33:00:00:00:02 3
packet in 2 8e:e4:de:83:d7:f2 33:33:00:00:00:02 3
packet in 1 46:8c:fe:d5:07:f9 33:33:00:00:00:02 3
packet in 1 8e:e4:de:83:d7:f2 33:33:00:00:00:02 3
packet in 1 62:e2:5a:ec:10:d4 33:33:00:00:00:02 3
packet in 1 e6:cb:36:99:4d:99 33:33:00:00:00:02 3
packet in 2 e6:cb:36:99:4d:99 33:33:00:00:00:02 3
packet in 2 a2:67:42:57:8a:c6 33:33:00:00:00:02 3
packet in 1 a2:67:42:57:8a:c6 33:33:00:00:00:02 3
packet in 1 ea:6b:e2:4a:88:5b 33:33:00:00:00:02 2
packet in 1 76:9d:60:b4:63:7a 33:33:00:00:00:02 3
packet in 2 ea:6b:e2:4a:88:5b 33:33:00:00:00:02 3
packet in 2 6a:ca:92:2b:8c:71 33:33:00:00:00:02 3
packet in 1 6a:ca:92:2b:8c:71 33:33:00:00:00:02 3
packet in 2 5e:3f:ca:30:45:de 33:33:00:00:00:02 3
packet in 2 56:98:27:52:d9:5e 33:33:00:00:00:02 3
packet in 1 42:2f:69:76:88:8b 33:33:00:00:00:02 1
packet in 2 ca:09:61:67:94:05 33:33:00:00:00:02 1
packet in 1 f6:2e:b3:b5:3d:9a 33:33:00:00:00:02 3
packet in 2 f6:2e:b3:b5:3d:9a 33:33:00:00:00:02 3
packet in 2 42:2f:69:76:88:8b 33:33:00:00:00:02 3
packet in 1 ca:09:61:67:94:05 33:33:00:00:00:02 3
packet in 2 5e:47:85:bf:0e:db 33:33:00:00:00:02 3
packet in 1 5e:47:85:bf:0e:db 33:33:00:00:00:02 3
packet in 1 26:4a:af:23:b1:c0 33:33:00:00:00:02 3
packet in 2 26:4a:af:23:b1:c0 33:33:00:00:00:02 3
packet in 2 92:88:67:8b:96:27 33:33:00:00:00:02 2
packet in 1 92:88:67:8b:96:27 33:33:00:00:00:02 3
packet in 1 4e:e3:0d:d6:49:c2 33:33:00:00:00:02 3
packet in 2 4e:e3:0d:d6:49:c2 33:33:00:00:00:02 3
